date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:59	714/714	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2012:12:58%20GMT	https://pvgkdesnashik.in/robots.txt		(from )
17:43:59	35947/35947	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2012:12:58%20GMT	https://pvgkdesnashik.in/	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/index.html	(from )
17:44:00	1251/1251	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2012:12:58%20GMT	https://pvgkdesnashik.in/apple-touch-icon.png	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/apple-touch-icon.png	(from https://pvgkdesnashik.in/)
17:44:00	121209/121209	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/bootstrap.min.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/bootstrap.min.css	(from https://pvgkdesnashik.in/)
17:44:00	7840/7840	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/normalize.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/normalize.css	(from https://pvgkdesnashik.in/)
17:44:01	31028/31028	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/font-awesome.min.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/font-awesome.min.css	(from https://pvgkdesnashik.in/)
17:44:01	26964/26964	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/icomoon.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/icomoon.css	(from https://pvgkdesnashik.in/)
17:44:02	75599/75599	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/animate.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/animate.css	(from https://pvgkdesnashik.in/)
17:44:02	20057/20057	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/prettyPhoto.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/prettyPhoto.css	(from https://pvgkdesnashik.in/)
17:44:03	4036/4036	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/owl.carousel.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/owl.carousel.css	(from https://pvgkdesnashik.in/)
17:44:03	1226/1226	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/owl.theme.default.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/owl.theme.default.css	(from https://pvgkdesnashik.in/)
17:44:03	5323/5323	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:07:45%20GMT	https://pvgkdesnashik.in/css/transitions.css	C:/My%20Web%20Sites/school%20website/pvgkdesnashik.in/css/transitions.css	(from https://pvgkdesnashik.in/)
